text,intent
Can you explain this charge on my account?,billing_inquiry
It's been a week and my order hasn't shown up,order_tracking
"My account got suspended after multiple wrong password attempts, how long is the ban",account_recovery
need help escalating my refund request,refund
can support intervene since seller is ignoring my refund request,refund
Why is there a convenience fee on this transaction?,billing_inquiry
Do you have a price match guarantee against other sellers?,promotions
Is there a human I can chat with?,human_handoff
Is there a special promotion for customers switching payment methods to autopay,promotions
"Good morning, coffee in hand, ready to chat",greeting
How do I get a login for your service?,account_creation
can support manually reset things if automated system fails,account_recovery
"Namaste, need some help",greeting
why cant i talk to a human right away,human_handoff
Is there a minimum age to create an account?,account_creation
how do refunds work if shipping itself was delayed excessively,shipping_info
how do i remove an old device from trusted devices list,account_management
Escalate my case to a supervisor,human_handoff
"Hey, this is my second time messaging today",greeting
What's the status of my refund?,refund
Can you check if my refund got stuck due to a bank holiday,refund
"I've submitted ID proof for recovery, how long until it's reviewed",account_recovery
can i change the email notifications frequency,account_management
I need this bill reissued since the company name was misspelled,billing_inquiry
I want to switch my default review visibility settings,account_management
Is there a bulk discount if I buy more than five units?,product_inquiry
Has it shipped yet,order_tracking
Is this suitable for someone with sensitive skin?,product_inquiry
Stop my order from shipping,cancel_order
How do I register if I already have a similar account with a competitor?,account_creation
I need this invoice reissued with my company's GST number,billing_inquiry
Is there a discount available for customers who consolidate multiple accounts,promotions
"Hola, need some assistance",greeting
can i choose morning or evening delivery slot,shipping_info
I never received the password reset email,account_recovery
Can support check if a billing error is affecting other customers too,billing_inquiry
"Good evening, hope you're wrapping up your shift smoothly",greeting
Is this product allergy tested?,product_inquiry
chek my order status pls,order_tracking
"the delivery attempt failed message doesnt make sense, i was home all day",order_tracking
"Do you run flash sales, and how do I get notified?",promotions
"product quality bad, want refund not replacement",refund
My payment failed but money was deducted,billing_inquiry
Can I request that fragile items be shipped separately from the rest of my order,shipping_info
Can you check if my company's tax exemption was applied correctly,billing_inquiry
I need proof of payment for reimbursement from my employer,billing_inquiry
Monitor price,product_inquiry
Is delivery available to educational campuses with restricted access,shipping_info
Package tracking stuck at 'processing' for days now,order_tracking
"Hey, is it fine to ask more than one question?",greeting
Can't sign in to my account,account_recovery
my order got skipped during delivery apparently,order_tracking
cant verify identity for recovery since i changed my number,account_recovery
Tell me about Headphones,product_inquiry
There's a billing issue with my account,billing_inquiry
acount creation help,account_creation
refund stuck for over a week,refund
Can you update my preferred customer support language,account_management
Can you tell me if this product ships with region-specific plugs,product_inquiry
Is this compatible with older accessories from the same brand?,product_inquiry
Can support verify if my payment plan was set up correctly,billing_inquiry
Show Logitech products,product_inquiry
"This was a gift order and the recipient already has one, cancel please",cancel_order
I received the wrong item and want a refund,refund
please assign this to an actual support executive,human_handoff
Track order pls,order_tracking
What's the price of a Dell laptop?,product_inquiry
I need this handled by a person familiar with my account history,human_handoff
"I'm having second thoughts, can I delete my account right after creating it?",account_creation
Can support check if my payment was processed by the correct merchant,billing_inquiry
Can I create an account using someone else's referral link?,account_creation
"the bot missed the point of my issue entirely, need a human",human_handoff
cant remember if i used gmail or yahoo to sign up originally,account_recovery
"Registering now, just want to double check this is legitimate and safe",account_creation
Can you tell me if there's a way to gift loyalty tier status to a family member,promotions
Is there a way to sign up using a fingerprint instead of a password,account_creation
2 charges for 1 order pls fix,billing_inquiry
order not delivred yet,order_tracking
My order shows as shipped but tracking hasn't moved in days,order_tracking
I've been refreshing the tracking page all day with no updates,order_tracking
Why was my refund request auto-closed without resolution,refund
I keep getting sent in a loop between login and password reset pages,account_recovery
New user registration,account_creation
What's the shipping cost to my city?,shipping_info
Can you confirm if seasonal discounts differ by product category,promotions
Is there a dedicated shipping option for temperature-sensitive products,shipping_info
